price,Address,area,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft
24000000,"Kandarpada, Near Link Road, Dahisar West, Mumbai, Kandarpada, Mumbai - North Mumbai, Maharashtra",1530,3,3,1,1,1,15686.27451
70000000,"Dadar East, Dadar East, Mumbai - Central Mumbai, Maharashtra",2205,3,3,3,2,1,31746.03175
47500000,"Chembur east, Chembur, Mumbai - Harbour Line, Maharashtra",2100,3,3,2,1,2,22619.04762
24000000,"Goregaon East, Mumbai, Gokuldham, Mumbai - North Mumbai, Maharashtra",1550,2,2,1,1,4,15483.87097
95000000,"Navjivan Cooperative Housing Society Lamington Road Mumbai Central Mumbai Maharashtra 400008, Lamington Rd, Mumbai - South Mumbai, Maharashtra",2500,5,4,1,2,2,38000
33000000,"Mugale lane, Mahim west, Mahim West, Mumbai - Central Mumbai, Maharashtra",1350,2,2,1,1,1,24444.44444
35000000,"Joy Callista, Andheri East, Gondavali Gaothan, Mumbai., Gundavali Gaothan, Mumbai - Western Suburbs, Maharashtra",1800,3,3,4,2,7,19444.44444
29900000,"Ghar Mandir Cooperative Housing Society Lallubhai Park Road Andheri West Mumbai Maharashtra 400058, Lallu Bhai Park, Mumbai - Western Suburbs, Maharashtra",1080,2,2,2,1,1,27685.18519
19500000,"Sukhdayak Cooperative Housing Society Ltd C Wing Tarun Bharat Road J B Nagar Andheri East  Mumbai Maharashtra 400059, JB Nagar, Mumbai - Western Suburbs, Maharashtra",1020,3,2,1,1,1,19117.64706
17000000,"Nandanvan CHS, Sulochana Shetty Marg, Sion West, Sion Hospital Colony, Mumbai - Central Mumbai, Maharashtra",800,2,2,1,1,1,21250
23000000,"Seven Bungalow, Andheri (w), Seven Bungalows, Mumbai - Western Suburbs, Maharashtra",1050,2,2,1,1,1,21904.7619
36500000,"Runwal Greens, Mulund West, Mumbai - Central Line, Maharashtra",2000,4,4,4,1,1,18250
16500000,"Andheri West lokhandwala circel, Andheri West, Mumbai - Western Suburbs, Maharashtra",1050,2,2,1,1,2,15714.28571
47500000,"Ariosto Sapphire, 2nd Hasnabad Lane, Santacruz West, Mumbai: 400054, Santacruz West, Mumbai - Western Suburbs, Maharashtra",1300,2,2,4,2,2,36538.46154
34000000,"Skyline Oasis Palmyra Building gate Number 1 Kirol Road Ghatkopar West  Mumbai Maharashtra 400086, Vidya Vihar West, Mumbai - Central Line, Maharashtra",1370,3,3,1,2,2,24817.51825
29000000,"Khatri Mansion Dr. Baba Saheb Ambedkar Road Parel East Mumbai Maharashtra 400012, Parel, Mumbai - South Mumbai, Maharashtra",1500,4,4,2,1,1,19333.33333
38000000,"Arihant Apartments Cooperative Housing Society Lamington Road Mumbai Central Mumbai Maharashtra 400008, Lamington Rd, Mumbai - South Mumbai, Maharashtra",815,2,2,1,1,1,46625.76687
15000000,"Lords Cooperative Housing Society Bhandup Village Road Bhandup West Mumbai Maharashtra 400078, Bhandup, Mumbai - Central Line, Maharashtra",960,2,2,2,1,1,15625
52500000,"BEST Colony Road, Goregaon West, Mumbai - North Mumbai, Maharashtra",2300,3,3,2,2,5,22826.08696
42000000,"Jasville Premises Cooperative Society Vitthaldas Thackersey Marg New Marine lines Mumbai Maharashtra 400020, Marine Lines, Mumbai - South Mumbai, Maharashtra",1250,3,3,1,1,1,33600
32500000,"Matru Pitru Chhaya Cooperative Housing Society Natwar Nagar Road Number 2 Hindu Friends Society Jogeshwari East Mumbai Maharashtra 400060, Jogeshwari East, Mumbai - Western Suburbs, Maharashtra",1715,2,2,5,2,1,18950.43732
25900000,"Near WEH Metro Station, Mumbai 93, Andheri East, Mumbai - Western Suburbs, Maharashtra",924,2,2,1,1,2,28030.30303
20500000,"90ft road, Thakur Complex, Mumbai - North Mumbai, Maharashtra",1150,2,2,1,1,1,17826.08696
17500000,"Kandivali East, Mumbai, Lokhandwala Twp, Mumbai - Western Suburbs, Maharashtra",1090,2,2,2,1,4,16055.04587
13500000,"Goregaon East, Mumbai, Bimbisar Nagar, Mumbai - North Mumbai, Maharashtra",712,2,2,1,1,3,18960.67416
30000000,"Borivali East, Mumbai - Western Suburbs, Maharashtra",1400,3,3,1,2,1,21428.57143
25500000,"Ghatkopar West, Mumbai, Sainath Nagar, Mumbai - Central Line, Maharashtra",951,2,2,1,1,1,26813.88013
25000000,"Nahur, Mumbai - Central Line, Maharashtra",1030,3,2,1,1,1,24271.84466
32000000,"Oshiwara, Mumbai - Western Suburbs, Maharashtra",1970,3,3,1,1,1,16243.65482
16000000,"Kashimira Road East Mumbai., Mumbai, Maharashtra",1650,4,3,1,1,1,9696.969697
55300000,"Powai, Mumbai, Hiranandani Gardens, Mumbai - Western Suburbs, Maharashtra",1803,3,3,2,3,3,30671.10372
5200000,"sanghvi garden manpada road dombivali east, Thane-Kalyan-Dombivli, Mumbai, Maharashtra",750,2,2,1,1,1,6933.333333
16500000,"Runwal Chestnut Off Mulund Goregaon Link Road Nahur West Mumbai Maharashtra 400080, Nahur West, Mumbai - Central Line, Maharashtra",1150,2,2,3,1,1,14347.82609
31600000,"Apt504 The Lumiere SVP Nagar, Versova, Mumbai - Western Suburbs, Maharashtra",1273,2,2,1,1,1,24823.25216
33500000,"RNA Azzure, Near Bandra court, Bandra East, Mumbai 400051, Kherwadi Junction, Mumbai - Western Suburbs, Maharashtra",1605,2,3,4,1,2,20872.27414
5000000,"Elite, Wing - I, Flat No. 704, 7th Floor, Palava City., Thane-Kalyan-Dombivli, Mumbai, Maharashtra",800,2,2,1,1,2,6250
