price,area,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft
175000000,1800,4,5,4,3,1,97222.22222
13500000,850,3,2,1,1,0,15882.35294
49900000,1850,4,4,1,2,2,26972.97297
12500000,850,2,2,1,1,1,14705.88235
22000000,1250,2,2,1,1,1,17600
22000000,1250,2,2,1,1,1,17600
19500000,1296,3,2,1,5,2,15046.2963
21500000,1200,2,2,1,2,3,17916.66667
28000000,1150,2,3,1,1,1,24347.82609
29000000,1565,3,2,2,1,1,18530.35144
22000000,1150,2,2,1,1,4,19130.43478
32500000,1755,3,4,1,1,1,18518.51852
22500000,1304,2,2,1,1,3,17254.60123
48000000,2175,3,4,1,2,3,22068.96552
40000000,1000,2,3,1,1,2,40000
33000000,1200,2,2,3,1,2,27500
14500000,811,2,2,1,1,1,17879.16153
180000000,3500,4,5,2,1,1,51428.57143
12000000,810,2,2,1,1,2,14814.81481
19000000,700,2,2,1,1,1,27142.85714
25300000,1450,3,3,1,1,2,17448.27586
18000000,1296,3,3,1,1,1,13888.88889
90000000,2300,4,4,4,1,1,39130.43478
19000000,1150,2,2,1,1,2,16521.73913
17000000,980,3,2,1,1,1,17346.93878
14400000,890,2,2,1,1,1,16179.77528
16500000,1029,2,2,2,1,2,16034.98542
30000000,1400,3,3,1,1,2,21428.57143
22000000,1136,2,2,1,2,0,19366.19718
18500000,998,2,2,1,1,3,18537.07415
43100000,4200,5,5,1,1,1,10261.90476
53000000,2664,3,4,4,3,3,19894.89489
9250000,1026,2,2,4,1,3,9015.594542
15000000,740,2,2,1,1,1,20270.27027
27500000,1220,2,2,1,1,3,22540.98361
26500000,750,2,2,1,1,1,35333.33333
20200000,1050,3,2,1,1,1,19238.09524
70000000,1800,4,4,1,2,2,38888.88889
26500000,840,2,2,3,1,1,31547.61905
65000000,1539,3,3,3,2,4,42235.21767
5600000,1250,2,2,1,3,1,4480
18000000,998,2,2,1,1,4,18036.07214
25000000,1000,2,2,1,1,0,25000
12800000,890,2,2,3,1,2,14382.02247
